04-14 15:18:09.738  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.739  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.755  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:09.756  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.771  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.773  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:09.788  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.789  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.805  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.808  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:09.821  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:09.824  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:09.838  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:09.839  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:09.855  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
